timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1702027724334,2559,HomePage,200,OK,User 1-13,text,true,,104203,236,50,50,https://www.daraz.com.bd/,269,0,193
1702027724334,283,HomePage-0,301,Moved Permanently,User 1-13,text,true,,634,118,50,50,http://www.daraz.com.bd/,269,0,193
1702027724632,2261,HomePage-1,200,OK,User 1-13,text,true,,103569,118,50,50,https://www.daraz.com.bd/,1576,0,1492
1702027725723,1385,HomePage,200,OK,User 1-36,text,true,,104225,236,50,50,https://www.daraz.com.bd/,123,0,66
1702027725723,123,HomePage-0,301,Moved Permanently,User 1-36,text,true,,634,118,50,50,http://www.daraz.com.bd/,123,0,66
1702027725847,1261,HomePage-1,200,OK,User 1-36,text,true,,103591,118,50,50,https://www.daraz.com.bd/,349,0,276
1702027725792,1702,HomePage,200,OK,User 1-37,text,true,,104224,236,50,50,https://www.daraz.com.bd/,127,0,56
1702027725792,127,HomePage-0,301,Moved Permanently,User 1-37,text,true,,634,118,50,50,http://www.daraz.com.bd/,127,0,56
1702027725920,1574,HomePage-1,200,OK,User 1-37,text,true,,103590,118,50,50,https://www.daraz.com.bd/,296,0,217
1702027725864,1666,HomePage,200,OK,User 1-38,text,true,,104222,236,50,50,https://www.daraz.com.bd/,153,0,88
1702027725864,153,HomePage-0,301,Moved Permanently,User 1-38,text,true,,634,118,50,50,http://www.daraz.com.bd/,153,0,88
1702027726018,1512,HomePage-1,200,OK,User 1-38,text,true,,103588,118,50,50,https://www.daraz.com.bd/,263,0,200
1702027724750,3686,HomePage,200,OK,User 1-20,text,true,,104205,236,50,50,https://www.daraz.com.bd/,117,0,59
1702027724750,117,HomePage-0,301,Moved Permanently,User 1-20,text,true,,634,118,50,50,http://www.daraz.com.bd/,117,0,59
1702027724868,3568,HomePage-1,200,OK,User 1-20,text,true,,103571,118,50,50,https://www.daraz.com.bd/,1406,0,1323
1702027725608,2963,HomePage,200,OK,User 1-34,text,true,,104203,236,50,50,https://www.daraz.com.bd/,112,0,55
1702027725608,112,HomePage-0,301,Moved Permanently,User 1-34,text,true,,634,118,50,50,http://www.daraz.com.bd/,112,0,55
1702027725721,2850,HomePage-1,200,OK,User 1-34,text,true,,103569,118,50,50,https://www.daraz.com.bd/,998,0,896
1702027725584,3350,HomePage,200,OK,User 1-32,text,true,,104203,236,50,50,https://www.daraz.com.bd/,132,0,73
1702027725584,132,HomePage-0,301,Moved Permanently,User 1-32,text,true,,634,118,50,50,http://www.daraz.com.bd/,132,0,73
1702027725717,3217,HomePage-1,200,OK,User 1-32,text,true,,103569,118,50,50,https://www.daraz.com.bd/,503,0,436
